Name,Execution time in second
2_1_32_T,2.414145616
2_2_32_T,1.242682096
2_3_32_T,0.854736036
2_4_32_T,0.656398344
2_5_32_T,0.54247002
2_6_32_T,0.463613976
2_7_32_T,0.410517824
2_8_32_T,0.363808552
2_9_32_T,0.335792732
2_10_32_T,0.30852588
2_11_32_T,0.286352228
2_12_32_T,0.269556268
2_13_32_T,0.25299776
2_14_32_T,0.242417252
2_15_32_T,0.231389484
2_16_32_T,0.217513656
4_1_32_T,6.50249992
4_2_32_T,3.28746136
4_3_32_T,2.224094124
4_4_32_T,1.678787976
4_5_32_T,1.36612446
4_6_32_T,1.150438056
4_7_32_T,1.004955056
4_8_32_T,0.879591256
4_9_32_T,0.806859044
4_10_32_T,0.733894056
4_11_32_T,0.67459988
4_12_32_T,0.630652768
4_13_32_T,0.585961496
4_14_32_T,0.558517436
4_15_32_T,0.529874868
4_16_32_T,0.491949648
7_1_32_T,22.855917136
7_2_32_T,11.466578416
7_3_32_T,7.701526476
7_4_32_T,5.808202404
7_5_32_T,4.7237853
7_6_32_T,3.976441896
7_7_32_T,3.473066504
7_8_32_T,3.022433812
7_9_32_T,2.761442492
7_10_32_T,2.49886242
7_11_32_T,2.286344948
7_12_32_T,2.128179208
7_13_32_T,1.96729604
7_14_32_T,1.869665732
7_15_32_T,1.766612784
7_16_32_T,1.629549516
