Name,Execution time in second
2_1_32_L,1.14272348
2_2_32_L,0.578845224
2_3_32_L,0.395973696
2_4_32_L,0.296906096
2_5_32_L,0.243709736
2_6_32_L,0.206687296
2_7_32_L,0.182739232
2_8_32_L,0.155936624
2_9_32_L,0.147164056
2_10_32_L,0.13198856
2_11_32_L,0.120361448
2_12_32_L,0.114034568
2_13_32_L,0.103073072
2_14_32_L,0.100627384
2_15_32_L,0.096413384
2_16_32_L,0.085451888
4_1_32_L,3.897989528
4_2_32_L,1.956478248
4_3_32_L,1.325447232
4_4_32_L,0.985722608
4_5_32_L,0.802432424
4_6_32_L,0.67445344
4_7_32_L,0.59074576
4_8_32_L,0.504484592
4_9_32_L,0.475375456
4_10_32_L,0.426143
4_11_32_L,0.38925188
4_12_32_L,0.367882784
4_13_32_L,0.333341312
4_14_32_L,0.324885088
4_15_32_L,0.310934984
4_16_32_L,0.276284144
7_1_32_L,14.91905372
7_2_32_L,7.467010344
7_3_32_L,5.043341376
7_4_32_L,3.782383916
7_5_32_L,3.102356036
7_6_32_L,2.626644436
7_7_32_L,2.316122812
7_8_32_L,1.981466924
7_9_32_L,1.860874396
7_10_32_L,1.66868738
7_11_32_L,1.526253788
7_12_32_L,1.438571228
7_13_32_L,1.306123052
7_14_32_L,1.270955164
7_15_32_L,1.213756484
7_16_32_L,1.081008428
