Name,Execution time in second
2_1_8_I,0.846325128
2_2_8_I,0.427804848
2_3_8_I,0.28829816
2_4_8_I,0.218544708
2_5_8_I,0.17698154
2_6_8_I,0.148791364
2_7_8_I,0.129026116
2_8_8_I,0.113914692
2_9_8_I,0.102721492
2_10_8_I,0.093206668
2_11_8_I,0.085577396
2_12_8_I,0.07903802
2_13_8_I,0.074237076
2_14_8_I,0.069228956
2_15_8_I,0.065517908
2_16_8_I,0.061599684
4_1_8_I,2.970135048
4_2_8_I,1.489709808
4_3_8_I,0.996234992
4_4_8_I,0.749497188
4_5_8_I,0.602507588
4_6_8_I,0.50275978
4_7_8_I,0.43287562
4_8_8_I,0.382834404
4_9_8_I,0.3459715
4_10_8_I,0.31438996
4_11_8_I,0.289153532
4_12_8_I,0.267500132
4_13_8_I,0.251830764
4_14_8_I,0.235069424
4_15_8_I,0.22296074
4_16_8_I,0.209850276
7_1_8_I,11.465374728
7_2_8_I,5.737329648
7_3_8_I,3.82798232
7_4_8_I,2.907740388
7_5_8_I,2.35963094
7_6_8_I,1.987500004
7_7_8_I,1.726930396
7_8_8_I,1.527379812
7_9_8_I,1.380088252
7_10_8_I,1.254218728
7_11_8_I,1.153532156
7_12_8_I,1.06737482
7_13_8_I,1.004777436
7_14_8_I,0.938146016
7_15_8_I,0.889826108
7_16_8_I,0.837631524
