Name,Execution time in second
2_1_32_L,3.371297728
2_2_32_L,1.704110544
2_3_32_L,1.148381648
2_4_32_L,0.870516952
2_5_32_L,0.704948664
2_6_32_L,0.592652504
2_7_32_L,0.513916856
2_8_32_L,0.45372028
2_9_32_L,0.409131416
2_10_32_L,0.371229272
2_11_32_L,0.340837848
2_12_32_L,0.314788056
2_13_32_L,0.295662712
2_14_32_L,0.275713368
2_15_32_L,0.260929656
2_16_32_L,0.245321944
4_1_32_L,11.824067776
4_2_32_L,5.930495568
4_3_32_L,3.965972048
4_4_32_L,2.983709464
4_5_32_L,2.398543608
4_6_32_L,2.001447704
4_7_32_L,1.723238648
4_8_32_L,1.524159256
4_9_32_L,1.377511928
4_10_32_L,1.251869672
4_11_32_L,1.151471832
4_12_32_L,1.065327384
4_13_32_L,1.002994744
4_14_32_L,0.936309288
4_15_32_L,0.888140232
4_16_32_L,0.835911448
7_1_32_L,45.635147968
7_2_32_L,22.836035664
7_3_32_L,15.236333648
7_4_32_L,11.574903892
7_5_32_L,9.394104564
7_6_32_L,7.913477204
7_7_32_L,6.876731876
7_8_32_L,6.08276386
7_9_32_L,5.496727796
7_10_32_L,4.995919652
7_11_32_L,4.595309268
7_12_32_L,4.252050516
7_13_32_L,4.002611332
7_14_32_L,3.737162388
7_15_32_L,3.544625796
7_16_32_L,3.336693844
