Name,Execution time in second
2_1_8_T,0.735540008
2_2_8_T,0.373872656
2_3_8_T,0.253317904
2_4_8_T,0.19303898
2_5_8_T,0.157126876
2_6_8_T,0.132761604
2_7_8_T,0.11568618
2_8_8_T,0.102622916
2_9_8_T,0.092959752
2_10_8_T,0.08472807
2_11_8_T,0.078135232
2_12_8_T,0.072484228
2_13_8_T,0.068349656
2_14_8_T,0.064007722
2_15_8_T,0.060814984
2_16_8_T,0.057414884
4_1_8_T,2.39442692
4_2_8_T,1.203316112
4_3_8_T,0.806280592
4_4_8_T,0.607760708
4_5_8_T,0.489501976
4_6_8_T,0.409242948
4_7_8_T,0.353021016
4_8_8_T,0.314545988
4_9_8_T,0.286280844
4_10_8_T,0.261967188
4_11_8_T,0.242575588
4_12_8_T,0.224088388
4_13_8_T,0.210575072
4_14_8_T,0.196304308
4_15_8_T,0.185882176
4_16_8_T,0.174713828
7_1_8_T,9.029974568
7_2_8_T,4.521089936
7_3_8_T,3.018131344
7_4_8_T,2.31226682
7_5_8_T,1.891851976
7_6_8_T,1.606406724
7_7_8_T,1.40653716
7_8_8_T,1.253476676
7_9_8_T,1.140493212
7_10_8_T,1.04396046
7_11_8_T,0.966721012
7_12_8_T,0.891340228
7_13_8_T,0.835604036
7_14_8_T,0.777751252
7_15_8_T,0.734795974
7_16_8_T,0.689557604
