Name,Execution time in second
2_1_32_I,6.963870136
2_2_32_I,3.524404552
2_3_32_I,2.386062424
2_4_32_I,1.80467176
2_5_32_I,1.470461576
2_6_32_I,1.241341496
2_7_32_I,1.08065756
2_8_32_I,0.944805648
2_9_32_I,0.856894944
2_10_32_I,0.782670136
2_11_32_I,0.719469152
2_12_32_I,0.666329632
2_13_32_I,0.62090428
2_14_32_I,0.58752352
2_15_32_I,0.557394792
2_16_32_I,0.514872592
4_1_32_I,24.034955704
4_2_32_I,12.059947336
4_3_32_I,8.094689368
4_4_32_I,6.072443152
4_5_32_I,4.907807624
4_6_32_I,4.110444344
4_7_32_I,3.550259096
4_8_32_I,3.098486544
4_9_32_I,2.8046994
4_10_32_I,2.560714288
4_11_32_I,2.349888848
4_12_32_I,2.17241614
4_13_32_I,2.023609804
4_14_32_I,1.911213604
4_15_32_I,1.811880216
4_16_32_I,1.670891536
7_1_32_I,92.319297976
7_2_32_I,46.202118472
7_3_32_I,30.929197144
7_4_32_I,23.3414731
7_5_32_I,18.972433376
7_6_32_I,15.980953976
7_7_32_I,13.87934378
7_8_32_I,12.109098828
7_9_32_I,10.947588324
7_10_32_I,9.989614216
7_11_32_I,9.160299212
7_12_32_I,8.462011972
7_13_32_I,7.879381
7_14_32_I,7.43263624
7_15_32_I,7.041622512
7_16_32_I,6.492911692
