Name,Execution time in second
2_1_1_L,0.122897584
2_2_1_L,0.06238226
2_3_1_L,0.042403596
2_4_1_L,0.032124598
2_5_1_L,0.026281412
2_6_1_L,0.022240408
2_7_1_L,0.019420216
2_8_1_L,0.016995894
2_9_1_L,0.015532978
2_10_1_L,0.01414446
2_11_1_L,0.013072662
2_12_1_L,0.012145934
2_13_1_L,0.011291388
2_14_1_L,0.010784066
2_15_1_L,0.010223604
2_16_1_L,0.009431542
4_1_1_L,0.41066104
4_2_1_L,0.206263988
4_3_1_L,0.138734604
4_4_1_L,0.104065462
4_5_1_L,0.084293732
4_6_1_L,0.070653496
4_7_1_L,0.061106296
4_8_1_L,0.053262198
4_9_1_L,0.048477604
4_10_1_L,0.044004876
4_11_1_L,0.040533126
4_12_1_L,0.037505564
4_13_1_L,0.034770054
4_14_1_L,0.033108674
4_15_1_L,0.031280436
4_16_1_L,0.02874703
7_1_1_L,1.561714864
7_2_1_L,0.7817909
7_3_1_L,0.524058636
7_4_1_L,0.394783798
7_5_1_L,0.321038762
7_6_1_L,0.270178558
7_7_1_L,0.234563866
7_8_1_L,0.204237174
7_9_1_L,0.185490838
7_10_1_L,0.16818858
7_11_1_L,0.154690392
7_12_1_L,0.142910624
7_13_1_L,0.132351258
7_14_1_L,0.125779916
7_15_1_L,0.118687374
7_16_1_L,0.108989782
